m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
56.23413251903491,0.00017782794100389227,0.00025118864315095795,1.5011818917914853e-15,55.71271229974587
56.23413251903491,0.00031622776601683794,0.0001,9.467379833599034e-17,8.533756420442177
56.23413251903491,0.00031622776601683794,0.00015848931924611142,3.7690317981093557e-16,21.435826962316487
56.23413251903491,0.00031622776601683794,0.00025118864315095795,1.5004785848714726e-15,53.84436289482993
56.23413251903491,0.0005623413251903491,0.0001,9.460204427217568e-17,8.237642995143187
56.23413251903491,0.0005623413251903491,0.00015848931924611142,3.7661752173772587e-16,20.692023667120125
56.23413251903491,0.0005623413251903491,0.00025118864315095795,1.4993413595987599e-15,51.97601348991408
56.23413251903491,0.001,0.0001,9.447957015127544e-17,7.941529569844238
56.23413251903491,0.001,0.00015848931924611142,3.761299434803496e-16,19.94822037192387
56.23413251903491,0.001,0.00025118864315095795,1.4974002755940854e-15,50.10766408499849
56.23413251903491,0.0017782794100389228,0.0001,9.427502855348824e-17,7.645416144545413
56.23413251903491,0.0017782794100389228,0.00015848931924611142,3.753156487127941e-16,19.204417076727925
56.23413251903491,0.0017782794100389228,0.00025118864315095795,1.494158509735005e-15,48.23931468008369
56.23413251903491,0.0031622776601683794,0.0001,9.394851996198753e-17,7.349302719246969
56.23413251903491,0.0031622776601683794,0.00015848931924611142,3.740157945975565e-16,18.46061378153294
56.23413251903491,0.0031622776601683794,0.00025118864315095795,1.4889836972955092e-15,46.37096527517129
56.23413251903491,0.005623413251903491,0.0001,9.340961738243753e-17,7.053189293949681
56.23413251903491,0.005623413251903491,0.00015848931924611142,3.7187038478607024e-16,17.716810486340854
56.23413251903491,0.005623413251903491,0.00025118864315095795,1.480442666998224e-15,44.502615870266176
56.23413251903491,0.01,0.0001,9.251631040780202e-17,6.757075868655906
56.23413251903491,0.01,0.00015848931924611142,3.6831406566499177e-16,16.973007191157592
56.23413251903491,0.01,0.00025118864315095795,1.4662847055694457e-15,42.63426646538323
56.23413251903491,0.01778279410038923,0.0001,9.112303949748596e-17,6.4609624433727735
56.23413251903491,0.01778279410038923,0.00015848931924611142,3.6276735426578754e-16,16.229203896001067
56.23413251903491,0.01778279410038923,0.00025118864315095795,1.4442028497593055e-15,40.76591706056744
56.23413251903491,0.03162277660168379,0.0001,8.892917236162826e-17,6.164849018121839
56.23413251903491,0.03162277660168379,0.00015848931924611142,3.5403341188552137e-16,15.485400600925416
56.23413251903491,0.03162277660168379,0.00025118864315095795,1.409432398871455e-15,38.8975676559548
56.23413251903491,0.03162277660168379,0.00039810717055349735,5.61105144401144e-15,97.70627241371886
56.23413251903491,0.05623413251903491,0.0001,8.539135378678321e-17,5.86873559296811
56.23413251903491,0.05623413251903491,0.00015848931924611142,3.3994910245788966e-16,14.741597306093938
56.23413251903491,0.05623413251903491,0.00025118864315095795,1.3533617531171111e-15,37.02921825195549
56.23413251903491,0.05623413251903491,0.00039810717055349735,5.387830182687746e-15,93.01319089649398
56.23413251903491,0.1,0.0001,8.015392315499943e-17,5.572622168107181
56.23413251903491,0.1,0.00015848931924611142,3.190985155599931e-16,13.997794011997938
